Helsinki-NLP/opus-mt-uk-hu,Ukrainian to Hungarian
Helsinki-NLP/opus-mt-uk-it,Ukrainian to Italian
Helsinki-NLP/opus-mt-uk-no,Ukrainian to Norwegian
Helsinki-NLP/opus-mt-uk-pl,Ukrainian to Polish
Helsinki-NLP/opus-mt-uk-pt,Ukrainian to Portuguese
Helsinki-NLP/opus-mt-uk-ru,Ukrainian to Russian
Helsinki-NLP/opus-mt-uk-sl,Ukrainian to Slovenian
Helsinki-NLP/opus-mt-uk-es,Ukrainian to Spanish
Helsinki-NLP/opus-mt-uk-sv,Ukrainian to Swedish
Helsinki-NLP/opus-mt-uk-tr,Ukrainian to Turkish
Helsinki-NLP/opus-mt-vi-en,Vietnamese to English
Helsinki-NLP/opus-mt-vi-fr,Vietnamese to French
Helsinki-NLP/opus-mt-vi-de,Vietnamese to German
Helsinki-NLP/opus-mt-vi-it,Vietnamese to Italian
Helsinki-NLP/opus-mt-vi-ru,Vietnamese to Russian
Helsinki-NLP/opus-mt-vi-es,Vietnamese to Spanish
Helsinki-NLP/opus-mt-cy-en,Welsh to English
